sub.group,treatment.group,exp.week,snail.id,infection.outcome,week,size,echino.cercs,schisto.cercs
Co-exposed,1 week,1,o4,echino,6,17,3,
Co-exposed,1 week,1,o45,echino,5,11.7,7,
Co-exposed,1 week,1,o7,coinfected,6,16.3,10,1
Co-exposed,1 week,1,o15,echino,6,15.4,10,
Co-exposed,1 week,1,o20,coinfected,6,15.8,13,2
Co-exposed,1 week,1,o8,echino,6,12.3,30,
Co-exposed,1 week,1,o30,echino,7,13.2,31,
Co-exposed,1 week,1,o6,echino,7,15.2,34,
Co-exposed,1 week,1,o7,coinfected,9,18.1,36,
Co-exposed,1 week,1,o19,echino,6,15.9,54,
Co-exposed,1 week,1,o37,coinfected,7,15.9,56,
Co-exposed,1 week,1,o48,coinfected,7,14.2,57,
Co-exposed,1 week,1,o6,echino,6,14.5,63,
Co-exposed,1 week,1,o36,coinfected,6,15,64,31
Co-exposed,1 week,1,o8,echino,7,13,69,
Co-exposed,1 week,1,o17,echino,6,13.8,102,
Co-exposed,1 week,1,o7,coinfected,7,16.6,120,
Co-exposed,1 week,1,o39,echino,7,13.5,132,
Co-exposed,1 week,1,o30,echino,8,13.7,135,
Co-exposed,1 week,1,o21,echino,6,13.5,143,
Co-exposed,1 week,1,o20,coinfected,8,16.7,145,
Co-exposed,1 week,1,o39,echino,6,12.9,163,
Co-exposed,1 week,1,o48,coinfected,6,13.8,164,
Co-exposed,1 week,1,o45,echino,6,11.8,169,
Co-exposed,1 week,1,o37,coinfected,8,16,179,
Co-exposed,1 week,1,o15,echino,7,15.7,181,
Co-exposed,1 week,1,o20,coinfected,7,16.1,253,
Co-exposed,1 week,1,o7,coinfected,8,17.8,254,
Co-exposed,1 week,1,o4,echino,8,18,261,
Co-exposed,1 week,1,o43,echino,6,13.6,262,
Co-exposed,1 week,1,o19,echino,7,16.6,308,
Co-exposed,1 week,1,o4,echino,7,17.7,401,
Co-exposed,1 week,1,o38,schisto,8,15.7,,2
Co-exposed,1 week,1,o36,coinfected,5,14.7,,3
Co-exposed,1 week,1,o48,coinfected,5,13.6,,4
Co-exposed,1 week,1,o5,schisto,8,15.2,,6
Co-exposed,1 week,1,o7,coinfected,5,16.3,,9
Co-exposed,1 week,1,o32,schisto,12,16,,10
Co-exposed,1 week,1,o47,schisto,9,15.7,,11
Co-exposed,1 week,1,o9,schisto,5,15.8,,11
Co-exposed,1 week,1,o24,schisto,8,14.5,,13
Co-exposed,1 week,1,o24,schisto,10,14.6,,16
Co-exposed,1 week,1,o32,schisto,8,15.8,,16
Co-exposed,1 week,1,o35,schisto,8,16.5,,17
Co-exposed,1 week,1,o38,schisto,9,15.9,,17
Co-exposed,1 week,1,o32,schisto,5,15.3,,18
Co-exposed,1 week,1,o38,schisto,5,14.9,,19
Co-exposed,1 week,1,o37,coinfected,5,15.2,,26
Co-exposed,1 week,1,o34,schisto,5,15.8,,27
Co-exposed,1 week,1,o24,schisto,9,14.4,,29
Co-exposed,1 week,1,o35,schisto,12,16.7,,30
Co-exposed,1 week,1,o32,schisto,7,15.6,,32
Co-exposed,1 week,1,o20,coinfected,5,15.4,,34
Co-exposed,1 week,1,o24,schisto,6,13.7,,35
Co-exposed,1 week,1,o24,schisto,13,14.9,,36
Co-exposed,1 week,1,o38,schisto,11,16,,37
Co-exposed,1 week,1,o46,schisto,5,15.9,,40
Co-exposed,1 week,1,o34,schisto,8,16,,42
Co-exposed,1 week,1,o32,schisto,11,15.9,,43
Co-exposed,1 week,1,o38,schisto,7,15.5,,43
Co-exposed,1 week,1,o47,schisto,12,15.8,,43
Co-exposed,1 week,1,o5,schisto,6,14.6,,43
