time.delay,snail id,days.control,status.control
Control,c1,63,1
Control,c2,210,0
Control,c3,140,1
Control,c4,149,1
Control,c5,210,0
Control,c6,210,0
Control,c7,207,1
Control,c8,210,0
Control,c9,,
Control,c10,210,0
Control,c11,210,0
Control,c12,210,0
Control,c13,140,1
Control,c14,154,1
Control,c15,210,0
Control,c16,210,0
Control,c17,210,0
Control,c18,210,0
Control,c19,25,1
Control,c20,210,0
Control,c21,210,0
Control,c22,210,0
Control,c23,210,0
Control,c24,186,1
Control,c25,210,0
Control,c26,67,1
Control,c27,210,0
Control,c28,158,1
Control,c29,147,1
Control,c30,53,1
Control,c31,210,0
Control,c32,210,0
Control,c33,210,0
Control,c34,210,0
Control,c35,95,1
Control,c36,210,0
Control,c37,210,0
Control,c38,210,0
Control,c39,95,1
Control,c40,210,0
Control,c41,210,0
Control,c42,210,0
Control,c43,210,0
Control,c44,116,1
Control,c45,91,1
Control,c46,193,1
Control,c47,210,0
Control,c48,210,0
Control,c49,137,1
Control,c50,210,0
1 week,c1,56,1
1 week,c2,203,0
1 week,c3,133,1
1 week,c4,142,1
1 week,c5,203,0
1 week,c6,203,0
1 week,c7,200,1
1 week,c8,203,0
1 week,c9,,
1 week,c10,203,0
1 week,c11,203,0
1 week,c12,203,0
1 week,c13,133,1
1 week,c14,147,1
1 week,c15,203,0
1 week,c16,203,0
1 week,c17,203,0
1 week,c18,203,0
1 week,c19,18,1
1 week,c20,203,0
1 week,c21,203,0
1 week,c22,203,0
1 week,c23,203,0
1 week,c24,179,1
1 week,c25,203,0
1 week,c26,60,1
1 week,c27,203,0
1 week,c28,151,1
1 week,c29,140,1
1 week,c30,46,1
1 week,c31,203,0
1 week,c32,203,0
1 week,c33,203,0
1 week,c34,203,0
1 week,c35,88,1
1 week,c36,203,0
1 week,c37,203,0
1 week,c38,203,0
1 week,c39,88,1
1 week,c40,203,0
1 week,c41,203,0
1 week,c42,203,0
1 week,c43,203,0
1 week,c44,109,1
1 week,c45,84,1
1 week,c46,186,1
1 week,c47,203,0
1 week,c48,203,0
1 week,c49,130,1
1 week,c50,203,0
4 week,c1,35,1
4 week,c2,182,0
4 week,c3,112,1
4 week,c4,121,1
4 week,c5,182,0
4 week,c6,182,0
4 week,c7,179,1
4 week,c8,182,0
4 week,c9,,
4 week,c10,182,0
4 week,c11,182,0
4 week,c12,182,0
4 week,c13,112,1
4 week,c14,126,1
4 week,c15,182,0
4 week,c16,182,0
4 week,c17,182,0
4 week,c18,182,0
4 week,c19,,
4 week,c20,182,0
4 week,c21,182,0
4 week,c22,182,0
4 week,c23,182,0
4 week,c24,158,1
4 week,c25,182,0
4 week,c26,39,1
4 week,c27,182,0
4 week,c28,130,1
4 week,c29,119,1
4 week,c30,25,1
4 week,c31,182,0
4 week,c32,182,0
4 week,c33,182,0
4 week,c34,182,0
4 week,c35,67,1
4 week,c36,182,0
4 week,c37,182,0
4 week,c38,182,0
4 week,c39,67,1
4 week,c40,182,0
4 week,c41,182,0
4 week,c42,182,0
4 week,c43,182,0
4 week,c44,88,1
4 week,c45,63,1
4 week,c46,165,1
4 week,c47,182,0
4 week,c48,182,0
4 week,c49,109,1
4 week,c50,182,0
6 week,c1,21,1
6 week,c2,168,0
6 week,c3,98,1
6 week,c4,107,1
6 week,c5,168,0
6 week,c6,168,0
6 week,c7,165,1
6 week,c8,168,0
6 week,c9,,
6 week,c10,168,0
6 week,c11,168,0
6 week,c12,168,0
6 week,c13,98,1
6 week,c14,112,1
6 week,c15,168,0
6 week,c16,168,0
6 week,c17,168,0
6 week,c18,168,0
6 week,c19,,
6 week,c20,168,0
6 week,c21,168,0
6 week,c22,168,0
6 week,c23,168,0
6 week,c24,144,1
6 week,c25,168,0
6 week,c26,25,1
6 week,c27,168,0
6 week,c28,116,1
6 week,c29,105,1
6 week,c30,11,1
6 week,c31,168,0
6 week,c32,168,0
6 week,c33,168,0
6 week,c34,168,0
6 week,c35,53,1
6 week,c36,168,0
6 week,c37,168,0
6 week,c38,168,0
6 week,c39,53,1
6 week,c40,168,0
6 week,c41,168,0
6 week,c42,168,0
6 week,c43,168,0
6 week,c44,74,1
6 week,c45,49,1
6 week,c46,151,1
6 week,c47,168,0
6 week,c48,168,0
6 week,c49,95,1
6 week,c50,168,0
