treatment.group,exposure,weeks,id,size.echino,size.schisto,infection.echino,infection.schisto
Echino,single exposed,,e1,10.9,,1,
Echino,single exposed,,e2,12.6,,0,
Echino,single exposed,,e3,10,,1,
Echino,single exposed,,e4,12.6,,0,
Echino,single exposed,,e5,11.8,,0,
Echino,single exposed,,e6,12,,0,
Echino,single exposed,,e7,11.5,,0,
Echino,single exposed,,e8,11.2,,0,
Echino,single exposed,,e9,11.9,,0,
Echino,single exposed,,e10,12,,0,
Echino,single exposed,,e11,12.7,,0,
Echino,single exposed,,e12,11.6,,1,
Echino,single exposed,,e13,12.1,,0,
Echino,single exposed,,e14,12.3,,0,
Echino,single exposed,,e15,11.4,,1,
Echino,single exposed,,e16,12.3,,0,
Echino,single exposed,,e17,10.7,,0,
Echino,single exposed,,e18,11.7,,1,
Echino,single exposed,,e19,11.6,,1,
Echino,single exposed,,e20,11,,0,
Echino,single exposed,,e21,11.6,,1,
Echino,single exposed,,e22,10.4,,1,
Echino,single exposed,,e23,10.7,,1,
Echino,single exposed,,e24,11.4,,1,
Echino,single exposed,,e25,11.1,,0,
Echino,single exposed,,e26,11.5,,1,
Echino,single exposed,,e27,10.8,,1,
Echino,single exposed,,e28,10.7,,1,
Echino,single exposed,,e29,12,,0,
Echino,single exposed,,e30,11,,0,
Echino,single exposed,,e31,12.1,,1,
Echino,single exposed,,e32,11.9,,1,
Echino,single exposed,,e33,12.2,,1,
Echino,single exposed,,e34,12.3,,0,
Echino,single exposed,,e35,11.3,,1,
Echino,single exposed,,e36,11.4,,0,
Echino,single exposed,,e37,11.3,,0,
Echino,single exposed,,e38,11.3,,0,
Echino,single exposed,,e39,11.1,,0,
Echino,single exposed,,e40,12,,1,
Echino,single exposed,,e41,11.1,,0,
Echino,single exposed,,e42,11.1,,0,
Echino,single exposed,,e43,11.4,,1,
Echino,single exposed,,e44,11.5,,0,
Echino,single exposed,,e45,NA,,NA,
Echino,single exposed,,e46,11.1,,1,
Echino,single exposed,,e47,11.1,,0,
Echino,single exposed,,e48,11.3,,0,
Echino,single exposed,,e49,11.5,,1,
Echino,single exposed,,e50,10.3,,1,
Schisto,single exposed,,s1,,11.9,,1
Schisto,single exposed,,s2,,11.6,,1
Schisto,single exposed,,s3,,12.3,,0
Schisto,single exposed,,s4,,12.2,,1
Schisto,single exposed,,s5,,12.2,,0
Schisto,single exposed,,s6,,13.1,,1
Schisto,single exposed,,s7,,10.9,,1
Schisto,single exposed,,s8,,12.3,,1
Schisto,single exposed,,s9,,12.8,,1
Schisto,single exposed,,s10,,12.2,,1
Schisto,single exposed,,s11,,11.6,,1
Schisto,single exposed,,s12,,10.8,,0
Schisto,single exposed,,s13,,10.9,,1
Schisto,single exposed,,s14,,11.3,,1
Schisto,single exposed,,s15,,12.2,,1
Schisto,single exposed,,s16,,12.2,,1
Schisto,single exposed,,s17,,11.8,,1
Schisto,single exposed,,s18,,12.5,,1
Schisto,single exposed,,s19,,11,,1
Schisto,single exposed,,s20,,11.7,,1
Schisto,single exposed,,s21,,11.8,,0
Schisto,single exposed,,s22,,11.4,,1
Schisto,single exposed,,s23,,11.8,,1
Schisto,single exposed,,s24,,12,,1
Schisto,single exposed,,s25,,12.4,,1
Schisto,single exposed,,s26,,11.8,,1
Schisto,single exposed,,s27,,10.8,,1
Schisto,single exposed,,s28,,11.2,,1
Schisto,single exposed,,s29,,11.7,,1
Schisto,single exposed,,s30,,10.6,,0
Schisto,single exposed,,s31,,11,,1
Schisto,single exposed,,s32,,10.6,,1
Schisto,single exposed,,s33,,11.1,,1
Schisto,single exposed,,s34,,11.6,,1
Schisto,single exposed,,s35,,11.8,,1
Schisto,single exposed,,s36,,10.9,,1
Schisto,single exposed,,s37,,10.8,,0
Schisto,single exposed,,s38,,11.7,,0
Schisto,single exposed,,s39,,11.8,,1
Schisto,single exposed,,s40,,11.1,,1
Schisto,single exposed,,s41,,11.1,,0
Schisto,single exposed,,s42,,11.2,,1
Schisto,single exposed,,s43,,11.6,,1
Schisto,single exposed,,s44,,11.7,,1
Schisto,single exposed,,s45,,11.3,,0
Schisto,single exposed,,s46,,11.9,,0
Schisto,single exposed,,s47,,11.4,,1
Schisto,single exposed,,s48,,11.4,,1
Schisto,single exposed,,s49,,11.1,,1
Schisto,single exposed,,s50,,11.1,,1
Simul,co-exposed,0,z1,11.6,11.6,1,0
Simul,co-exposed,0,z2,12.4,12.4,0,1
Simul,co-exposed,0,z3,12.1,12.1,0,0
Simul,co-exposed,0,z4,11.6,11.6,0,0
Simul,co-exposed,0,z5,11.7,11.7,0,0
Simul,co-exposed,0,z6,12.3,12.3,0,1
Simul,co-exposed,0,z7,12.2,12.2,1,0
Simul,co-exposed,0,z8,11,11,0,0
Simul,co-exposed,0,z9,11,11,1,0
Simul,co-exposed,0,z10,11.3,11.3,0,1
Simul,co-exposed,0,z11,11,11,1,0
Simul,co-exposed,0,z12,10.7,10.7,0,0
Simul,co-exposed,0,z13,11,11,1,0
Simul,co-exposed,0,z14,12.1,12.1,1,0
Simul,co-exposed,0,z15,13.1,13.1,1,0
Simul,co-exposed,0,z16,12.2,12.2,1,0
Simul,co-exposed,0,z17,12.1,12.1,0,0
Simul,co-exposed,0,z18,12.2,12.2,1,0
Simul,co-exposed,0,z19,10.9,10.9,0,0
Simul,co-exposed,0,z20,12.1,12.1,0,1
Simul,co-exposed,0,z21,11.7,11.7,0,0
Simul,co-exposed,0,z22,11.4,11.4,1,0
Simul,co-exposed,0,z23,12.3,12.3,0,0
Simul,co-exposed,0,z24,11.9,11.9,1,0
Simul,co-exposed,0,z25,11.9,11.9,0,0
Simul,co-exposed,0,z26,12.7,12.7,1,0
Simul,co-exposed,0,z27,12,12,0,1
Simul,co-exposed,0,z28,12.2,12.2,0,1
Simul,co-exposed,0,z29,12.1,12.1,1,0
Simul,co-exposed,0,z30,12.7,12.7,0,1
Simul,co-exposed,0,z31,12.4,12.4,0,0
Simul,co-exposed,0,z32,12.6,12.6,0,0
Simul,co-exposed,0,z33,11.7,11.7,0,0
Simul,co-exposed,0,z34,13.3,13.3,0,0
Simul,co-exposed,0,z35,13,13,1,0
Simul,co-exposed,0,z36,11.3,11.3,0,0
Simul,co-exposed,0,z37,11.3,11.3,1,0
Simul,co-exposed,0,z38,10.5,10.5,0,0
Simul,co-exposed,0,z39,10.9,10.9,1,0
Simul,co-exposed,0,z40,11.7,11.7,0,1
Simul,co-exposed,0,z41,11.7,11.7,0,1
Simul,co-exposed,0,z42,12.3,12.3,0,1
Simul,co-exposed,0,z43,11.2,11.2,1,0
Simul,co-exposed,0,z44,11.1,11.1,0,0
Simul,co-exposed,0,z45,11.1,11.1,0,1
Simul,co-exposed,0,z46,11.1,11.1,1,0
Simul,co-exposed,0,z47,11.8,11.8,0,0
Simul,co-exposed,0,z48,12.9,12.9,0,1
Simul,co-exposed,0,z49,11.7,11.7,0,1
Simul,co-exposed,0,z50,10.7,10.7,0,1
1 Week,co-exposed,1,o1,12.3,12.2,0,0
1 Week,co-exposed,1,o2,12.9,11.8,0,0
1 Week,co-exposed,1,o3,12.3,12,0,0
1 Week,co-exposed,1,o4,12.7,11.9,1,0
1 Week,co-exposed,1,o5,11.9,11.9,0,1
1 Week,co-exposed,1,o6,12.7,12.3,1,0
1 Week,co-exposed,1,o7,13.6,12.6,1,0
1 Week,co-exposed,1,o8,11.2,11,1,0
1 Week,co-exposed,1,o9,12.7,11.9,0,1
1 Week,co-exposed,1,o10,11.6,11.4,0,0
1 Week,co-exposed,1,o11,10.7,10.7,0,0
1 Week,co-exposed,1,o12,12.2,11.9,0,0
1 Week,co-exposed,1,o13,12.1,11.7,0,1
1 Week,co-exposed,1,o14,11.7,11.3,0,0
1 Week,co-exposed,1,o15,13.9,12.8,1,0
1 Week,co-exposed,1,o16,12.4,12.1,0,0
1 Week,co-exposed,1,o17,12.2,11.6,1,0
1 Week,co-exposed,1,o18,12.3,11.6,0,1
1 Week,co-exposed,1,o19,12.9,12.3,1,0
1 Week,co-exposed,1,o20,12.5,12.1,1,0
1 Week,co-exposed,1,o21,12.1,11.9,1,0
1 Week,co-exposed,1,o22,11.7,10.9,0,1
1 Week,co-exposed,1,o23,11.8,11.5,0,0
